subsystem,reaction
Intracellular demand,DM_m3gacpail_prot_hs_r
Intracellular demand,DM_mem2emgacpail_prot_hs_r
Intracellular demand,DM_sTn_antigen_g
Intracellular demand,SK_T_antigen_g
Intracellular demand,DM_yvite_c
Fatty acid oxidation,DMHPTCRNt
Fatty acid oxidation,DMNONCOACRNCPT1
"Transport, mitochondrial",DNDPt12m
"Transport, mitochondrial",DNDPt19m
"Transport, mitochondrial",DNDPt23m
"Transport, mitochondrial",DNDPt24m
"Transport, mitochondrial",DNDPt2m
"Transport, mitochondrial",DNDPt30m
"Transport, mitochondrial",DNDPt31m
"Transport, mitochondrial",DNDPt3m
"Transport, mitochondrial",DNDPt41m
"Transport, mitochondrial",DNDPt44m
"Transport, mitochondrial",DNDPt46m
"Transport, mitochondrial",DNDPt47m
"Transport, mitochondrial",DNDPt48m
"Transport, mitochondrial",DNDPt4m
"Transport, mitochondrial",DNDPt51m
"Transport, mitochondrial",DNDPt53m
"Transport, mitochondrial",DNDPt54m
"Transport, mitochondrial",DNDPt58m
"Transport, mitochondrial",DNDPt7m
Vitamin C metabolism,DOGULNO1
N-glycan synthesis,DOLGLCP_Lter
N-glycan synthesis,DOLK_L
N-glycan synthesis,DOLMANP_Uter
N-glycan synthesis,DOLPH_Ler
Tyrosine metabolism,DOPABMO_1
Tyrosine metabolism,DOPACHRMISO
Tyrosine metabolism,DOPAMT
Tyrosine metabolism,DOPAQNISO1
"Transport, extracellular",DOPASFt
Tyrosine metabolism,DOPASULT
Arginine and proline metabolism,DORNOp
Glycolysis/gluconeogenesis,DPGM
Ubiquinone synthesis,DPHMBDCm
Cholesterol metabolism,DPMVDx
Miscellaneous,DPPS
"Transport, extracellular",DRIBt
Pentose phosphate pathway,DRPA
"Transport, nuclear",DTTPtn
"Transport, nuclear",DUMPtn
Nucleotide interconversion,DURIK1m
"Transport, nuclear",DURItn
Nucleotide interconversion,DUTPDPn
"Transport, extracellular",EAFLATOXINte
"Transport, extracellular",EBASTINEOHte
"Transport, endoplasmic reticular",EBASTINEtr
Cholesterol metabolism,EBP1r
Cholesterol metabolism,EBP2r
Tryptophan metabolism,ECOAH1m
Tryptophan metabolism,ECOAH1x
Arginine and proline metabolism,EHGLAT2m
Arginine and proline metabolism,EHGLATm
Fatty acid oxidation,EICOSTETCPT2
Fatty acid oxidation,EICOSTETCRNt
"Transport, extracellular",EICOSTETt
Fatty acid oxidation,ELAIDCPT1
Fatty acid oxidation,ELAIDCPT2
Fatty acid oxidation,ELAIDCRNt
"Transport, extracellular",ELAIDt
Keratan sulfate degradation,ENGASE3ly
N-glycan degradation,ENGASEly
"Transport, extracellular",ESTRADIOLGLCt
"Transport, extracellular",ESTRADIOLGLCt2
"Transport, endoplasmic reticular",ESTRADIOLtr
"Transport, endoplasmic reticular",ESTRIOLGLCtr
"Transport, endoplasmic reticular",ESTRONEGLCtr
Steroid metabolism,ESTSULT
Glycerophospholipid metabolism,ETHP
Glycolysis/gluconeogenesis,ETOHMO
"Transport, peroxisomal",ETOHtx
Extracellular exchange,EX_10fthf_e
Extracellular exchange,EX_1glyc_hs_e
Extracellular exchange,EX_2425dhvitd2_e
Extracellular exchange,EX_2425dhvitd3_e
Extracellular exchange,EX_25hvitd2_e
Extracellular exchange,EX_34dhoxpeg_e
Extracellular exchange,EX_3aib_e
Extracellular exchange,EX_3aib__D_e
Extracellular exchange,EX_3mlda_e
Extracellular exchange,EX_4hdebrisoquine_e
Extracellular exchange,EX_4mtolbutamide_e
Extracellular exchange,EX_4nph_e
Extracellular exchange,EX_4nphsf_e
Extracellular exchange,EX_6thf_e
Extracellular exchange,EX_abt_e
Extracellular exchange,EX_acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs_e
Extracellular exchange,EX_ach_e
Extracellular exchange,EX_acn13acngalgbside_hs_e
Extracellular exchange,EX_acn23acngalgbside_hs_e
Extracellular exchange,EX_acnacngalgbside_hs_e
Extracellular exchange,EX_acngalacglcgal14acglcgalgluside_hs_e
Extracellular exchange,EX_adprbp_e
Extracellular exchange,EX_adrn_e
Extracellular exchange,EX_adrnl_e
Extracellular exchange,EX_aflatoxin_e
Extracellular exchange,EX_ak2lgchol_hs_e
Extracellular exchange,EX_amp_e
Extracellular exchange,EX_apnnox_e
Extracellular exchange,EX_aprgstrn_e
Extracellular exchange,EX_aqcobal_e
Extracellular exchange,EX_arachd_e
Extracellular exchange,EX_ascb__L_e
Extracellular exchange,EX_asp__D_e
Extracellular exchange,EX_atp_e
Extracellular exchange,EX_bilglcur_e
Extracellular exchange,EX_bilirub_e
Extracellular exchange,EX_camp_e
Extracellular exchange,EX_chsterol_e
Extracellular exchange,EX_cmp_e
Extracellular exchange,EX_co_e
Extracellular exchange,EX_crtsl_e
Extracellular exchange,EX_cspg_a_e
Extracellular exchange,EX_cspg_b_e
Extracellular exchange,EX_cspg_d_e
Extracellular exchange,EX_debrisoquine_e
Extracellular exchange,EX_dgchol_e
Extracellular exchange,EX_dopasf_e
Extracellular exchange,EX_ebastineoh_e
Extracellular exchange,EX_elaid_e
Extracellular exchange,EX_estradiol_e
Extracellular exchange,EX_estriolglc_e
Extracellular exchange,EX_estroneglc_e
Extracellular exchange,EX_estrones_e
Extracellular exchange,EX_fuc13galacglcgal14acglcgalgluside_hs_e
Extracellular exchange,EX_fuc14galacglcgalgluside_hs_e
Extracellular exchange,EX_fucacgalfucgalacglcgalgluside_hs_e
Extracellular exchange,EX_fucacngal14acglcgalgluside_hs_e
Extracellular exchange,EX_fucfuc132galacglcgal14acglcgalgluside_hs_e
Extracellular exchange,EX_fucfucfucgalacglcgal14acglcgalgluside_hs_e
Extracellular exchange,EX_fucgalfucgalacglcgalgluside_hs_e
Extracellular exchange,EX_galfuc12gal14acglcgalgluside_hs_e
Extracellular exchange,EX_galgalfucfucgalacglcgalacglcgal14acglcgalgluside_hs_e
Extracellular exchange,EX_galgalgalthcrm_hs_e
Extracellular exchange,EX_gbside_hs_e
Extracellular exchange,EX_gchola_e
Extracellular exchange,EX_gd1b2_hs_e
Extracellular exchange,EX_glygn2_e
Extracellular exchange,EX_glygn4_e
Extracellular exchange,EX_glygn5_e
Extracellular exchange,EX_gmp_e
Extracellular exchange,EX_gp1c_hs_e
Extracellular exchange,EX_gq1b_hs_e
Extracellular exchange,EX_gthrd_e
Extracellular exchange,EX_gtp_e
Extracellular exchange,EX_h2o2_e
Extracellular exchange,EX_hco3_e
Extracellular exchange,EX_hdca_e
Extracellular exchange,EX_hestratriol_e
Extracellular exchange,EX_hista_e
Extracellular exchange,EX_hpdca_e
Extracellular exchange,EX_idp_e
Extracellular exchange,EX_inost_e
Extracellular exchange,EX_ksi_deg1_e
Extracellular exchange,EX_ksii_core2_e
Extracellular exchange,EX_leuktrA4_e
Extracellular exchange,EX_leuktrF4_e
Extracellular exchange,EX_lgnc_e
Extracellular exchange,EX_lneldc_e
Extracellular exchange,EX_lnlncg_e
Extracellular exchange,EX_mag_hs_e
Extracellular exchange,EX_n2m2nmasn_e
Extracellular exchange,EX_ncam_e
Extracellular exchange,EX_no_e
Extracellular exchange,EX_nrpphrsf_e
Extracellular exchange,EX_nrvnc_e
Extracellular exchange,EX_o2s_e
Extracellular exchange,EX_omeprazole_e
Extracellular exchange,EX_pe_hs_e
Extracellular exchange,EX_peplys_e
Extracellular exchange,EX_pglyc_hs_e
Extracellular exchange,EX_prgstrn_e
Extracellular exchange,EX_prostge1_e
Extracellular exchange,EX_ptdca_e
Extracellular exchange,EX_rbt_e
Extracellular exchange,EX_retinol_9_cis_e
Extracellular exchange,EX_retinol_cis_11_e
Extracellular exchange,EX_retn_e
Extracellular exchange,EX_retnglc_e
Extracellular exchange,EX_Rtotal_e
Extracellular exchange,EX_s2l2fn2m2masn_e
Extracellular exchange,EX_sl__L_e
Extracellular exchange,EX_sphs1p_e
Extracellular exchange,EX_srtn_e
Extracellular exchange,EX_strch1_e
Extracellular exchange,EX_strch2_e
Extracellular exchange,EX_tag__D_e
Extracellular exchange,EX_tethex3_e
Extracellular exchange,EX_tettet6_e
Extracellular exchange,EX_thf_e
Extracellular exchange,EX_thmtp_e
Extracellular exchange,EX_thyox__L_e
Extracellular exchange,EX_tmndnc_e
Extracellular exchange,EX_tolbutamide_e
Extracellular exchange,EX_tststerone_e
Extracellular exchange,EX_tsul_e
Extracellular exchange,EX_txa2_e
Extracellular exchange,EX_ump_e
Extracellular exchange,EX_urate_e
Extracellular exchange,EX_utp_e
Extracellular exchange,EX_vacc_e
Extracellular exchange,EX_whtststerone_e
Extracellular exchange,EX_xolest_hs_e
Extracellular exchange,EX_xolest2_hs_e
Extracellular exchange,EX_xoltri24_e
Extracellular exchange,EX_xylt_e
Extracellular exchange,EX_yvite_e
Fructose and mannose metabolism,F1PGT
Fatty acid oxidation,FACOAL150
Fatty acid oxidation,FACOAL180
Fatty acid oxidation,FACOAL1812_1
Fatty acid oxidation,FACOAL1813
Fatty acid oxidation,FACOAL1832
Fatty acid oxidation,FACOAL191
Fatty acid oxidation,FACOAL200
Fatty acid oxidation,FACOAL206
Fatty acid oxidation,FACOAL224
Fatty acid oxidation,FACOAL226
Fatty acid oxidation,FACOAL244_1
Fatty acid oxidation,FACOAL245_2
Fatty acid oxidation,FACOAL246_1
Fatty acid oxidation,FACOAL260
Vitamin B2 metabolism,FADDP
Fatty acid synthesis,FAEL183
Cytochrome metabolism,FAH3_1
Fatty acid oxidation,FAOXC140
Fatty acid oxidation,FAOXC150m
Fatty acid oxidation,FAOXC160
Fatty acid oxidation,FAOXC161802m
Fatty acid oxidation,FAOXC16180m
Fatty acid oxidation,FAOXC170m
Fatty acid oxidation,FAOXC180
Fatty acid oxidation,FAOXC1811602m_1
"Transport, extracellular",25HVITD2t
"Transport, mitochondrial",CRNCARtm
"Transport, mitochondrial",r2434
"Transport, mitochondrial",CARN160t_m
"Transport, mitochondrial",CARN1819Zt_m
"Transport, mitochondrial",r2437
Fatty acid oxidation,FAOXC183803m
"Transport, mitochondrial",r2438
"Transport, extracellular",r2447
Fatty acid oxidation,FAOXC183806x
"Transport, extracellular",r2449
"Transport, extracellular",r2465_1
"Transport, extracellular",r2482
Fatty acid oxidation,FAOXC18480x
"Transport, extracellular",r2483
"Transport, extracellular",r2485
Fatty acid oxidation,FAOXC200180m
"Transport, extracellular",r2490
"Transport, extracellular",r2494
Fatty acid oxidation,FAOXC204184m
"Transport, extracellular",r2495
"Transport, peroxisomal",r2497
Fatty acid oxidation,FAOXC2242046m
"Transport, peroxisomal",r2498
"Transport, peroxisomal",r2499
"Transport, peroxisomal",r2501
Fatty acid oxidation,FAOXC2242046x
"Transport, peroxisomal",r2503
"Transport, endoplasmic reticular",r2507
"Transport, endoplasmic reticular",r2508
"Transport, endoplasmic reticular",r2511
Fatty acid oxidation,FAOXC2251836x
"Transport, endoplasmic reticular",r2513
"Transport, endoplasmic reticular",r2521
"Transport, extracellular",r2526
"Transport, extracellular",r2535
"Transport, endoplasmic reticular",r2537
"Transport, mitochondrial",r2539
Extracellular exchange,EX_sprm_e
Pentose phosphate pathway,GNK
Fatty acid synthesis,FACOAE180
Miscellaneous,GULND
Fatty acid oxidation,FAOXC226
Pyrimidine synthesis,RE0453N
Fatty acid oxidation,RE0512M
Tyrosine metabolism,RE1925C
Fatty acid oxidation,FAOXC226205x
Methionine and cysteine metabolism,RE1933C
Eicosanoid metabolism,RE2079R
Bile acid synthesis,RE2112C
Vitamin A metabolism,RE2147C
Miscellaneous,RE2154C
Fatty acid oxidation,FAOXC240200x_1
Androgen and estrogen synthesis and metabolism,RE2235C
Androgen and estrogen synthesis and metabolism,RE2235R
Miscellaneous,RE2269E
"Transport, extracellular",r2343
"Transport, extracellular",r2346
"Transport, extracellular",r2353
"Transport, extracellular",r2356
"Transport, extracellular",r2361
Miscellaneous,RE2270E
Miscellaneous,RE2304E
Vitamin E metabolism,RE2327C
Tryptophan metabolism,RE2349C
Miscellaneous,RE2404C
Cholesterol metabolism,RE2407C
Cholesterol metabolism,RE2410C
"Glycine, serine, alanine, and threonine metabolism",RE2428M
Tryptophan metabolism,RE2439C
"Transport, extracellular",r2364
"Transport, extracellular",r2365
"Transport, extracellular",r2367
"Transport, extracellular",r2368
"Transport, extracellular",ASCBt5
"Transport, mitochondrial",r2371
"Transport, mitochondrial",r2372
"Transport, mitochondrial",AKGCITtm
"Transport, mitochondrial",r2376
Miscellaneous,RE2514E
Miscellaneous,RE2541C
Miscellaneous,RE2541E
Fatty acid oxidation,RE2624M
Fatty acid oxidation,RE2624X
Bile acid synthesis,RE2625C
"Transport, mitochondrial",r2378
"Transport, mitochondrial",r2379
"Transport, mitochondrial",r2380
Bile acid synthesis,RE2626C
Bile acid synthesis,RE2635R
"Transport, mitochondrial",r2381
"Transport, mitochondrial",r2386
Bile acid synthesis,RE2636R
Bile acid synthesis,RE2637C
"Transport, mitochondrial",r2389
Bile acid synthesis,RE2637X
"Transport, mitochondrial",r2390
Bile acid synthesis,RE2638C
"Transport, mitochondrial",r2391
"Transport, mitochondrial",r2392
"Transport, mitochondrial",r2393
"Transport, mitochondrial",r2394
"Transport, mitochondrial",r2395
"Transport, mitochondrial",r2397
Methionine and cysteine metabolism,RE2640C
Bile acid synthesis,RE2649C
Vitamin A metabolism,RE2655R
Fatty acid oxidation,RE3185M
Fatty acid oxidation,RE3186M
Fatty acid oxidation,RE3189M
Fatty acid oxidation,RE3190M
"Transport, mitochondrial",r2398
"Transport, mitochondrial",r2401
"Transport, mitochondrial",r2402
Fatty acid oxidation,RE3191M
Fatty acid oxidation,RE3195M
"Transport, mitochondrial",r2403
Fatty acid oxidation,FAOXC241181x
"Transport, mitochondrial",r2406
"Transport, mitochondrial",r2410
"Transport, mitochondrial",r2413
"Transport, mitochondrial",r2416
Tyrosine metabolism,RE3198C
Androgen and estrogen synthesis and metabolism,RE3218C
Androgen and estrogen synthesis and metabolism,RE3220C
Fatty acid synthesis,RE3225C
"Transport, mitochondrial",r2420
"Transport, mitochondrial",r2425
Fatty acid synthesis,RE3226C
Fatty acid oxidation,FAOXC80
Fatty acid synthesis,RE3227C
Fatty acid oxidation,RE1517X
Fatty acid oxidation,RE1518M
Fatty acid oxidation,RE1521M
Fatty acid oxidation,RE1521X
Fatty acid oxidation,RE1523M
Fatty acid oxidation,RE1523X
Fatty acid synthesis,RE3229C
Fatty acid synthesis,RE3230C
Fatty acid synthesis,RE3235C
Fatty acid synthesis,RE3238C
Fatty acid synthesis,RE3239C
Fatty acid synthesis,RE3242C
Fatty acid oxidation,RE1525M
Fatty acid oxidation,RE1525X
Pyrimidine synthesis,RE1530C
Fatty acid synthesis,RE3244C
Fatty acid synthesis,FACOAE181
Linoleate metabolism,RE3258C
Fatty acid oxidation,RE1531X
Linoleate metabolism,RE3259C
Fatty acid oxidation,RE1532M
Glycerophospholipid metabolism,RE3267E
Fatty acid oxidation,RE1532X
Phosphatidylinositol phosphate metabolism,RE3268R_1
Fatty acid synthesis,FAS100COA
Phosphatidylinositol phosphate metabolism,PI35P3P
Phosphatidylinositol phosphate metabolism,PI4P4Pn
Phosphatidylinositol phosphate metabolism,RE3273C_1
Fatty acid oxidation,RE1533M
Fatty acid oxidation,RE1573M
Fatty acid oxidation,RE1573X
Tetrahydrobiopterin metabolism,RE1709N
Tryptophan metabolism,RE1711C
Glycerophospholipid metabolism,RE3301C_1
Bile acid synthesis,RE3346C
Vitamin B2 metabolism,FADRx
Purine catabolism,RE3352C
Miscellaneous,RE3381E
Linoleate metabolism,RE3417C_1
Linoleate metabolism,RE3420C_1
Eicosanoid metabolism,RE3423C
Bile acid synthesis,RE1796M
Bile acid synthesis,HSD3B7
Bile acid synthesis,RE1803C
Bile acid synthesis,RE1804C
Bile acid synthesis,RE1807M
Bile acid synthesis,RE1834C
Bile acid synthesis,RE1834X
Bile acid synthesis,RE1836C
Eicosanoid metabolism,RE3430C_1
Eicosanoid metabolism,RE3430M
Extracellular exchange,EX_CE1940_e
Extracellular exchange,EX_CE1936_e
Bile acid synthesis,SCP3x
Bile acid synthesis,BAAT5x
Extracellular exchange,EX_maltpt_e
Extracellular exchange,EX_CE2916_e
Bile acid synthesis,RE1846C
Miscellaneous,RE1860E
Extracellular exchange,EX_CE2917_e
Extracellular exchange,EX_CE2839_e
Urea cycle,RE1897C
Vitamin A metabolism,RE1903R
Extracellular exchange,EX_CE1950_e
Fatty acid synthesis,FAS120COA
Extracellular exchange,EX_23cump_e
Extracellular exchange,EX_CE5788_e
Extracellular exchange,EX_CE5789_e
Tyrosine metabolism,RE1915C
Tyrosine metabolism,RE1916C
Tyrosine metabolism,RE1918C
Extracellular exchange,EX_CE5798_e
Extracellular exchange,EX_CE5791_e
Extracellular exchange,EX_CE5867_e
Extracellular exchange,EX_CE5869_e
Extracellular exchange,EX_CE4633_e
Extracellular exchange,EX_CE1926_e
Extracellular exchange,EX_udpgal_e
Extracellular exchange,EX_crm_hs_e
Tyrosine metabolism,RE1921C
Tyrosine metabolism,RE1923C
Vitamin A metabolism,RE2658R
Vitamin A metabolism,RE2659R
Glycosphingolipid metabolism,B3GNT38g
Sphingolipid metabolism,RE2675C_1
Glycosphingolipid metabolism,RE2677C_1
Glycosphingolipid metabolism,RE2677G_1
Glycosphingolipid metabolism,RE2677R_1
Extracellular exchange,EX_galside_hs_e
Extracellular exchange,EX_CE0074_e
Extracellular exchange,EX_12dgr120_e
Extracellular exchange,EX_C04849_e
"Transport, extracellular",GLYt7_311_r
Fatty acid oxidation,RE2759X
Steroid metabolism,RE2766C
Eicosanoid metabolism,RE2799C
Bile acid synthesis,RE2814R
Vitamin C metabolism,RE2898C
"Transport, extracellular",PIt8
Fatty acid oxidation,2MB2COAc
Fatty acid oxidation,ADPACDAc
Fatty acid oxidation,ADPACTD
Fatty acid oxidation,RE2912M
Eicosanoid metabolism,RE2958C
Fatty acid synthesis,FAS140COA
Fatty acid oxidation,RE2985M
Fatty acid oxidation,RE2987X
Fatty acid oxidation,RE2988X
Fatty acid oxidation,BCRNe
Fatty acid oxidation,C100CPT1
Intracellular source/sink,SK_c101coa_c
Fatty acid oxidation,C101CPT1
Fatty acid oxidation,C101CRNe
Fatty acid oxidation,C10CRNe
Fatty acid oxidation,C10DCCACT
Fatty acid oxidation,C10DCc
Fatty acid oxidation,C12DCACOT
Fatty acid oxidation,RE2989X
Fatty acid oxidation,RE2990X
Fatty acid oxidation,RE2992X
Fatty acid oxidation,RE2993X
Fatty acid oxidation,RE2994X
Fatty acid oxidation,RE2996X
Fatty acid oxidation,RE2997X
Fatty acid oxidation,RE3003M
Fatty acid oxidation,RE3004M
Fatty acid oxidation,RE3006M
Methionine and cysteine metabolism,PAPSR
Fatty acid oxidation,C12DCACT
Fatty acid oxidation,DOCOSADIACTD
Fatty acid oxidation,DOCOSDIACTD
Extracellular exchange,EX_3bcrn_e
Extracellular exchange,EX_3ddcrn_e
Extracellular exchange,EX_3deccrn_e
Extracellular exchange,EX_3hexdcrn_e
Eicosanoid metabolism,RE3010M
Eicosanoid metabolism,RE3011M
Eicosanoid metabolism,RE3012C
Eicosanoid metabolism,RE3012M
Eicosanoid metabolism,RE3012R
Extracellular exchange,EX_3octdec2crn_e
Extracellular exchange,EX_3octdeccrn_e
Extracellular exchange,EX_3octdece1crn_e
Extracellular exchange,EX_3tdcrn_e
Extracellular exchange,EX_3tetd7ecoacrn_e
Extracellular exchange,EX_3ttetddcoacrn_e
Extracellular exchange,EX_c16dc_e
Extracellular exchange,EX_c4crn_e
Eicosanoid metabolism,RE3015R
Arachidonic acid metabolism,RE3033C
Eicosanoid metabolism,RE3431C
Eicosanoid metabolism,RE3432M
Eicosanoid metabolism,RE3432X
Eicosanoid metabolism,RE3435C
Arachidonic acid metabolism,RE3470C
Arachidonic acid metabolism,RE3470M
Arachidonic acid metabolism,RE3475C
Extracellular exchange,EX_c51crn_e
Extracellular exchange,EX_c6dc_e
Extracellular exchange,EX_c81crn_e
Eicosanoid metabolism,RE3488R
Extracellular exchange,EX_c8dc_e
Eicosanoid metabolism,RE3493C
Fatty acid synthesis,FAS180COA
Eicosanoid metabolism,RE3496C
Arachidonic acid metabolism,RE3525C
Extracellular exchange,EX_ddece1crn_e
Extracellular exchange,EX_ddeccrn_e
Extracellular exchange,EX_doco13ac_e
Extracellular exchange,EX_ivcrn_e
Arachidonic acid metabolism,RE3525R
Eicosanoid metabolism,RE3556C
Eicosanoid metabolism,RE3568C
Extracellular exchange,EX_tetdec2crn_e
Extracellular exchange,EX_tetdece1crn_e
Fatty acid oxidation,FAOXC101C102m
Fatty acid oxidation,FAOXC101C102x
Fatty acid oxidation,RE3624M
Histidine metabolism,RE3629C
Histidine metabolism,RE3630C
Heme synthesis,RE3637C
Extracellular exchange,EX_prostgi2_e
Fatty acid oxidation,FAOXC101C8m
Fatty acid oxidation,FAOXC102C101x
Fatty acid oxidation,FAOXC102C103m
Fatty acid oxidation,FAOXC102C103x
Fatty acid oxidation,FAOXC10DCC8DCx
Fatty acid oxidation,FAOXC11BRC9BRx
Fatty acid oxidation,FAOXC11C9m
Fatty acid oxidation,FAOXC121C10x
Extracellular exchange,EX_cdp_e
Extracellular exchange,EX_dtdp_e
Extracellular exchange,EX_HC00955_e
Extracellular exchange,EX_HC00004_e
Extracellular exchange,EX_C02470_e
Fatty acid oxidation,FAOXC121x
Fatty acid oxidation,FAOXC122C101m
Extracellular exchange,EX_HC02193_e
Extracellular exchange,EX_HC02196_e
Fatty acid oxidation,SEBCOAPET
Extracellular exchange,EX_HC02220_e
"Transport, peroxisomal",STRDNCCOAtxc
Extracellular exchange,EX_HC02194_e
Fatty acid synthesis,FAS80COA_L
Extracellular exchange,EX_HC02197_e
Extracellular exchange,EX_HC02187_e
Extracellular exchange,EX_HC02180_e
Fatty acid oxidation,SUBEACTD
Fatty acid oxidation,SUBERCACT
Fatty acid oxidation,SUCCACT
Fatty acid oxidation,SUCCOAPET
Fatty acid oxidation,TETDEC2CRNe
"Transport, extracellular",ALAATB0tc
"Transport, extracellular",ASCBSVCTtc
"Transport, extracellular",BALABETAtc
Dietary fiber binding,BGLUGCHe
Dietary fiber binding,BGLUTCHLe
"Transport, extracellular",CYSATB0tc
Extracellular exchange,EX_HC02202_e
Extracellular exchange,EX_malcoa_e
Fatty acid oxidation,TTDCPT1
Fatty acid oxidation,C141ACBP
Fatty acid oxidation,C141CPT1
Fatty acid oxidation,C141OHc
Fatty acid oxidation,C142ACBP
Fatty acid oxidation,C142OHe
Fatty acid oxidation,C161OHc
Fatty acid oxidation,C162OHc
Fatty acid oxidation,C162OHe
Fatty acid oxidation,C16DCc
Fatty acid oxidation,C16DCe
"Transport, peroxisomal",FA160COAabcp_1
"Transport, extracellular",CYSTALArBATtc
"Transport, extracellular",FOLt
"Transport, extracellular",GLCSGLT1le
"Transport, extracellular",GLNyLATthc
"Transport, extracellular",GLYGLYCNc
"Transport, extracellular",GLYGLYPEPT1tc
"Transport, extracellular",GLYPROPEPT1tc
"Transport, extracellular",GLYSARCNc
Fatty acid oxidation,C181OHc
Fatty acid oxidation,C30CPT1
Fatty acid oxidation,C40CPT1
Fatty acid oxidation,C4OHc
"Transport, peroxisomal",C4x
Fatty acid oxidation,C50CPT1
